comment,author,date,num_likes
인간의 오만함이란..... 우리도 대자연에 일부일뿐. 고래가 잠수부를 상어에게서 구해주기도하는데 우리는 도우면 안된다? 그럼 멸종 동물은 왜 보호하는지. 죽던지 말던지 대자연이 하는데로 내버려둬야지. 그 불문율이란건 꼭 지켜야 되는 것이 아니지 않나? 상황에 따라서 달라질 수도 있는 것이라고 본다. 그러므로 다큐 제작진들은 옳은 선택을 했다고 지지해주고 싶다.,나나야,2023-06-03T09:39:13Z,0
근데 사람들은 자연파괴해서 자연에 개입해놓고 저정도 개입한건 뭐 어떤가 싶기도 하네요,jamin ben,2023-06-03T01:51:38Z,0
잠깐 신이 되어주는것도 나쁘지 않지 ㅎ,james han,2023-06-02T00:04:15Z,0
멋있네요,Kim Hyo min,2023-05-30T06:02:58Z,0
대자연이라고 하기엔 인간이 자연을 너무 망쳐놔서.. 이정도로는 부족하다고 생각이 들 정도였어요. 뜨거운 박수를 보냅니다.,So Young Yoon,2023-05-30T03:35:45Z,0
그냥 놨두는것도 자연의 섭리지만 <br>역지사지를 잘 아는 사람이 동물 살리는<br>것도 자연의 섭리다,아난,2023-05-29T23:36:14Z,0
너무도 존경하고 감사합니다 모든 생명은 소중한것 너무도 잘하셨습니다 진심으로 존경합니다~♡♡♡,최호경,2023-05-27T20:45:43Z,0
황제펭귄은 멸종취약종이죠. 그런 동물들은 도와줘도 된다고 생각해요.,최러버덕,2023-05-27T17:14:42Z,0
그냥 인간을 생태계 외로 보는 것 차제가 존나 오만하다고 생각함,유유마,2023-05-27T06:58:54Z,0
이런 상황에서 인간이 개입하지 않는다라는건 그만큼 오만한게 아닐까 싶네요.. 정작 급할때는 눈에 보이지도 않는 신을 찾고 싹싹 빌면서.. 그저 생명을 지키고 싶다라는 그 마음으로 행하면 좋겠습니다,양파,2023-05-26T20:49:13Z,0
지금까지 쳐죽인 동물들이 몇인데 뭘 ㅈ나 같잖은 법칙 세워놓고 대단한 신념인거 마냥,kim moonzo,2023-05-20T05:17:19Z,0
100번 잘했다.맥클레이!!,으르렁,2023-05-15T09:26:27Z,0
이해할수 없는 인간의 위선해동 3가지                         1.생태계거스른다는 이유로 간섭안한다며 동물원만듬 <br>2.비건들의 식물학대<br>3.극단적 자연보호 단체의 1회용품 사용,인싸템컬렉터,2023-05-13T00:54:02Z,0
예전의 MBC 남극의 눈물 김만태 카메라 감독이 생각나네요,RPLC,2023-05-11T23:19:44Z,0
인간도 그 생태계중 하나인거고 산업시대의 환경오염 또한 생태계가 굴러가는 자연스러운 구조이다,이재혁,2023-05-02T14:26:18Z,0
아니 그러면 범고래 먹이줄라고 펭귄 던져줘도 용인할거임? ㅋㅋㅋ 댓글상태 ㄹㅇ 어지럽네,성이름,2023-04-26T09:38:27Z,0
머 어차피 우리모두 잠시 잠깐 왔다가는데 저정도는 고민하는 자체가 문제,초이행배,2023-04-25T07:45:42Z,0
인간이 무슨 신이냐? <br>개입이라는 헛소리를 하게?<br><br><br>인간도 자연의 구성원이다.<br>왜냐? 자연속에서 태어났기 때문이다.<br><br>구해주는건 자연의 섭리에 위반되는게 아니다.,허창희,2023-04-25T04:53:29Z,2
@abc123 ㅇㅇ 그러니 식물이 물을 마시고 그식물을 초식동물이 먹고 그 초식동물을 육식동물이 먹는거지,Yo푸딩,2023-06-19T04:49:36Z,0
@abc123 그러니 서로 죽이는 거잖아?,허창희,2023-05-08T05:02:45Z,1
그럼 죽이는것도 자연의 섭리에 위반되는게 아니네,abc123,2023-05-08T04:59:55Z,0
내가 저 펭귄이었다면....누군가의 도움이 얼마나 절실했을까...상상만으로도 정말 끔직했을것이다...더 말이 필요한가...,해운대회사원,2023-04-24T23:50:35Z,0
진짜 냉장고 여러브랜드 찾아봤는데 비스포크 배껴논거 개많더라 ㅋㅋㅋ 근데 퀄리티는 떨어지고,gi gi gimojji,2023-03-03T23:33:49Z,0
플스5 구매 성공하셨네요 축하해요,:Poin7less,2023-01-08T14:00:51Z,0
리모컨 삐뚤게 붙어서 저같은 편집증 환자는 사용불가;,JeonBC,2022-12-06T12:37:57Z,0
ㅋㅋㅋ 진짜 공감 ㅋ 폰😘업 😀에서 나두 최저가로 바꿈.. 최신폰 바꾸러 요즘 누가 매장가여ㅠ 더워죽겠는데,emre kbk,2022-08-23T01:33:22Z,0
"저두 폰💋  업  🤦 여기 알고나서 아이폰 완전 싸게바꿨어요.. 플래2스토어에 올라와있던뎅,,",ASD Qw,2022-08-23T01:33:10Z,0
그냥 사람들이 폰✔업 많이 쓰구나 싶었는데 막상 휴대폰 바꾸려고 가격비교 받았더니 폰✔업에서 바꾸는이유가 있구나....,Danish zehaen army,2022-07-04T02:02:25Z,0
어후 이분 영상 처음보는데<br>공기청정기 리뷰 좀 보고 싶은데<br>왜이리 혼자 신나서 시끄러운 건지…<br>꼬으면 보지 않으려했는데<br>왜 추천으로 떠서…<br>관심없음 박고갑니다,이상 한,2022-05-08T17:22:06Z,0
