,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS
Date,,,,,,,,,,,,
2020-02-20,30587.59765625,14950.0,32150.0,14950.0,32950.0,15350.0,32150.0,14850.0,32500.0,15300.0,156018,397848
2020-02-21,30730.306640625,14450.0,32300.0,14450.0,32700.0,15000.0,31300.0,14400.0,31850.0,14650.0,313991,489332
2020-02-24,27780.958984375,13600.0,29200.0,13600.0,31800.0,14100.0,28850.0,13500.0,31700.0,14000.0,680532,847340
2020-02-25,28542.08203125,14000.0,30000.0,14000.0,30200.0,14100.0,28650.0,13350.0,28700.0,13350.0,325895,571264
2020-02-26,27780.958984375,14000.0,29200.0,14000.0,29800.0,14200.0,29050.0,13600.0,29450.0,13700.0,263901,381461
2020-02-27,27685.81640625,13700.0,29100.0,13700.0,29950.0,14200.0,29050.0,13600.0,29250.0,14000.0,194583,429964
2020-02-28,26163.57421875,13200.0,27500.0,13200.0,29050.0,13550.0,27250.0,13100.0,28500.0,13400.0,498985,647492
2020-03-02,26401.423828125,13250.0,27750.0,13250.0,28050.0,13400.0,27200.0,13000.0,27200.0,13200.0,257513,513616
2020-03-03,26401.423828125,13550.0,27750.0,13550.0,28550.0,14100.0,27550.0,13450.0,28100.0,13550.0,241573,558657
2020-03-04,27019.837890625,13750.0,28400.0,13750.0,28750.0,13800.0,27450.0,13450.0,27500.0,13500.0,204105,342438
2020-03-05,27543.107421875,13900.0,28950.0,13900.0,29350.0,14150.0,28450.0,13700.0,28550.0,13900.0,221897,465980
2020-03-06,26829.556640625,13800.0,28200.0,13800.0,28900.0,14400.0,27950.0,13650.0,28650.0,14350.0,215917,591496
2020-03-09,26829.556640625,13800.0,28200.0,13800.0,28200.0,13800.0,28200.0,13800.0,28200.0,13800.0,0,0
2020-03-10,25069.462890625,13050.0,26350.0,13050.0,27200.0,13250.0,26100.0,12800.0,26250.0,12950.0,319286,768342
2020-03-11,24260.767578125,12500.0,25500.0,12500.0,26600.0,13200.0,25400.0,12300.0,26350.0,13100.0,259603,725031
2020-03-12,24260.767578125,11350.0,25500.0,11350.0,25500.0,12400.0,25500.0,11200.0,25500.0,12250.0,0,1295822
