date,time,open,high,low,close,qty,value,sign,jongchk,rate,
20230110,141000,67400,67400,67300,67400,356,0,5,0,0.0,
20230110,141100,67400,67400,67300,67400,500,0,5,0,0.0,
20230110,141200,67400,67600,67400,67600,4123,0,5,0,0.0,
20230110,141300,67600,67700,67500,67700,1328,0,5,0,0.0,
20230110,141400,67600,67700,67500,67500,299,0,5,0,0.0,
20230110,141500,67500,67600,67500,67500,137,0,5,0,0.0,
20230110,141600,67500,67500,67400,67400,1029,0,5,0,0.0,
20230110,141700,67500,67500,67400,67400,139,0,5,0,0.0,
20230110,141800,67500,67500,67400,67500,168,0,5,0,0.0,
20230110,141900,67400,67500,67400,67500,765,0,5,0,0.0,
20230110,142000,67500,67500,67400,67400,364,0,5,0,0.0,
20230110,142100,67400,67600,67400,67600,1790,0,5,0,0.0,
20230110,142200,67700,67800,67600,67700,752,0,5,0,0.0,
20230110,142300,67800,67800,67700,67800,301,0,5,0,0.0,
20230110,142400,67700,67800,67700,67700,155,0,5,0,0.0,
20230110,142500,67800,67800,67700,67700,190,0,5,0,0.0,
20230110,142600,67800,67800,67700,67700,116,0,5,0,0.0,
20230110,142700,67800,67800,67700,67700,664,0,5,0,0.0,
20230110,142800,67800,67800,67700,67800,297,0,5,0,0.0,
20230110,142900,67700,67900,67700,67800,2308,0,5,0,0.0,
20230110,143000,67900,68100,67800,67800,2542,0,5,0,0.0,
20230110,143100,67800,68000,67800,68000,733,0,3,0,0.0,
20230110,143200,68000,68000,67900,68000,131,0,3,0,0.0,
20230110,143300,68000,68000,67900,67900,643,0,5,0,0.0,
20230110,143400,67900,67900,67800,67800,456,0,5,0,0.0,
20230110,143500,67900,67900,67800,67800,531,0,5,0,0.0,
20230110,143600,67800,67900,67700,67800,704,0,5,0,0.0,
20230110,143700,67800,67800,67700,67800,430,0,5,0,0.0,
20230110,143800,67700,67800,67700,67700,1170,0,5,0,0.0,
20230110,143900,67700,67800,67700,67700,426,0,5,0,0.0,
20230110,144000,67700,68000,67700,67800,3364,0,5,0,0.0,
20230110,144100,67800,68000,67800,67900,881,0,5,0,0.0,
20230110,144200,67900,68000,67900,68000,547,0,3,0,0.0,
20230110,144300,68000,68100,67900,68000,1427,0,3,0,0.0,
20230110,144400,68100,68100,68000,68100,615,0,2,0,0.0,
20230110,144500,68100,68100,68000,68000,497,0,3,0,0.0,
20230110,144600,68000,68100,68000,68100,410,0,2,0,0.0,
20230110,144700,68000,68100,68000,68100,374,0,2,0,0.0,
20230110,144800,68100,68100,68000,68100,565,0,2,0,0.0,
20230110,144900,68000,68100,68000,68000,370,0,3,0,0.0,
20230110,145000,68000,68100,68000,68000,609,0,3,0,0.0,
20230110,145100,68000,68100,68000,68100,486,0,2,0,0.0,
20230110,145200,68100,68100,68000,68000,1062,0,3,0,0.0,
20230110,145300,68100,68100,68000,68100,650,0,2,0,0.0,
20230110,145400,68100,68100,68000,68000,599,0,3,0,0.0,
20230110,145500,68100,68100,68000,68000,736,0,3,0,0.0,
20230110,145600,68000,68200,68000,68200,4596,0,2,0,0.0,
20230110,145700,68200,68200,68100,68100,670,0,2,0,0.0,
20230110,145800,68100,68200,68000,68200,2493,0,2,0,0.0,
20230110,145900,68200,68300,68100,68200,1662,0,2,0,0.0,
20230110,150000,68200,68300,68000,68000,4859,0,3,0,0.0,
20230110,150100,68000,68300,68000,68300,1113,0,2,0,0.0,
20230110,150200,68300,68300,68200,68200,664,0,2,0,0.0,
20230110,150300,68300,68300,68200,68300,362,0,2,0,0.0,
20230110,150400,68200,68300,68200,68200,661,0,2,0,0.0,
20230110,150500,68200,68300,68200,68300,463,0,2,0,0.0,
20230110,150600,68300,68300,68200,68200,410,0,2,0,0.0,
20230110,150700,68300,68300,68200,68300,893,0,2,0,0.0,
20230110,150800,68200,68300,68100,68100,2362,0,2,0,0.0,
20230110,150900,68200,68200,68000,68100,694,0,2,0,0.0,
20230110,151000,68100,68200,68100,68200,1948,0,2,0,0.0,
20230110,151100,68100,68200,68000,68000,636,0,3,0,0.0,
20230110,151200,68000,68100,68000,68000,184,0,3,0,0.0,
20230110,151300,68000,68100,68000,68000,277,0,3,0,0.0,
20230110,151400,68000,68100,68000,68100,346,0,2,0,0.0,
20230110,151500,68000,68100,68000,68000,677,0,3,0,0.0,
20230110,151600,68000,68100,68000,68100,655,0,2,0,0.0,
20230110,151700,68000,68100,68000,68100,1087,0,2,0,0.0,
20230110,151800,68100,68100,68000,68000,3571,0,3,0,0.0,
20230110,151900,68000,68000,67900,67900,1808,0,5,0,0.0,
20230110,152000,68000,68200,68000,68100,5713,0,2,0,0.0,
20230110,153000,68000,68000,68000,68000,17189,0,3,0,0.0,
